FieldName,Data Type,Type,Description,Allowed Values,Example
_event_date,date,mandatory,The date of the original event,,2022-11-28
_event_time,timestamp,mandatory,The timestamp of the original event,,
_source,string,mandatory,The source of the data ingested,,"aws, checkpoint"
_sourcetype,string,mandatory,The sourcetype of data ingested,,"cloud_trail, opsec_lea"
acting_process_guid,string,optional,The globally unique id of the acting_process_name,,
acting_process_id,bigint,optional,The process id of the acting_process_name,,23532
acting_process_name,string,optional,The file name including directory of the acting process,,c:\Windows\explorer.exe
actor_user_id,string,optional,The unique id of the actor_user_name,,S-1-5-18
actor_user_name,string,optional,The username that initiated the event,,contoso\mallory
actor_user_type,string,optional,The type of account used in actor_user_name,"SID, UID, AADID, OktaId, AWSId",
dest,string,recommended,alias from src_hostname or dvc_hostname,,
dvc_hostname,string,mandatory,The device sending the data,,"fw-1, proxy-sg-1"
event_message,string,recommended,Details of the event either from the record or generated,,
event_result,string,recommended,The result of the event reported. Normalised to one of the examples,"Success, Failure",
event_schema_file,string,optional,The version of CIM model used to create this dataset. Literal string assigned by the data engineer,,registry_v0.1.1
event_severity,string,recommended,"The severity of the event, normalized to one of example","Informational, Low, Medium, High",
event_type,string,recommended,Describes the operation reported by the event,,"RegistryKeyCreated, RegistryKeyDeleted, RegistryKeyRenamed, RegistryValueDeleted, RegistryValueSet"
parent_process_guid,string,optional,The globally unique id of the parent_process_name,,
parent_process_id,bigint,optional,The process id of the parent_process_name,,345245
parent_process_name,string,optional,The parent process name including directory path,,C:\Windows\lsass.exe
process,bigint,optional,alias from acting_process_name,,alias from acting_process_name
registry_key,string,mandatory,The registry key associated with the operation,,HKEY_LOCAL_MACHINE\SOFTWARE\MTG
registry_previous_key,string,optional,The original key for modification events if available,,HKEY_LOCAL_MACHINE\SOFTWARE\MTG
registry_previous_value,string,optional,The original value for modification events if availble,,TRUE
registry_previous_value_data,string,optional,The original data stored for modification events in the registry value,,explorer.exe
registry_value,string,optional,The registry value associated with the operation,,TRUE
registry_value_data,string,optional,The data stored in the registry value,,"evil.exe, explorer.exe"
src,string,recommended,alias from src_hostname or dvc_hostname,,
src_domain,string,recommended,The domain name associated with src_hostname,,contoso
src_hostname,string,recommended,The hostname for the device reporting the event without domain,,DESKTOP-1023
user,string,optional,Alias from acting_user_name,,alias from actor_user_name
parent_process_hash_md5,string,optional,The MD5 hash of the parent process image file,,
parent_process_hash_sha256,string,optional,The SHA256 hash of the parent process image file,,
parent_process_id,bigint,optional,The process id of the parent process,,34534
parent_process_name,string,optional,The name including file path of the parent process,,C:\Windows\explorer.exe
process,string,recommended,alias from target_process_name,,
src,string,recommended,alias from src_hostname,,
src_hostname,string,recommended,The hostname of the device executing process,,
target_process_command_line,string,optional,The command line of the target process,,
target_process_guid,string,optional,The globally unique id of the target process,,
target_process_hash_md5,string,optional,The MD5 hash of the target process image file,,
target_process_hash_sha256,string,optional,The SHA256 hash of the target process image file,,
target_process_id,bigint,optional,The process id of the target process,,
target_process_name,string,optional,The name of the target process,,c:\Windows\explorer.exe
target_user_id,string,optional,The unique id for for the target_user_name,,S-1-12
target_user_name,string,optional,The target username including domain if available,,contoso\mallory
target_user_type,string,optional,"The type of username in target_user_name. UPN is either UPN or email, Windows = contoso\mallory, DN=LDAP format, Simple=mallorypark, AWSId=56765654368","UPN, Windows, DN,Simple, AWSId",
src_geo_region,string,optional,Region,,England
src_hostname,string,recommended,The source device name,,MALLORY-PC
src_interface_guid,string,optional,The GUID of the network interface used on the device,,46ad544b-eaf0-47ef-827c-266030f545a6
src_interface_name,string,optional,The network interface used for the connection by the source device,,eth01
src_ip_addr,string,optional,The source IP address,,10.10.10.10
src_mac_address,string,optional,The MAC address of the network interface used for the connection or session by the source device.,,06:10:9f:eb:8f:14
src_packets,long,optional,number of packets sent from source to destination,,
src_vlan_id,string,optional,The VLAN id related to the source device,,110
total_packets,long,optional,total packets sent between source and destination,,
