FieldName,Data Type,Type,Description,Allowed Values,Example
_event_date,date,mandatory,The date of the original event,,2022-11-28
_event_time,timestamp,mandatory,The timestamp of the original event,,
_source,string,mandatory,The source of the data ingested,,"aws, checkpoint"
_sourcetype,string,mandatory,The sourcetype of data ingested,,"cloud_trail, opsec_lea"
acting_app_id,string,optional,The unique app id associated with acting_app_name,,
acting_app_name,string,optional,The app name including directory path,,
dest,string,recommended,"alias from dest_hostname, dest_ip_addr or dvc_hostname",,
dest_domain,string,recommended,The domain name of dest_hostname if available,,
dest_hostname,string,recommended,The hostname (if available) of the dns server receiving the request,,
dest_ip_addr,string,recommended,The IP address of dest_hostname,,
dvc_hostname,string,mandatory,The device sending the data,,"fw-1, proxy-sg-1"
event_message,string,recommended,Details of the event either from the record or generated,,
event_result,string,recommended,The result of the event reported. Normalised to one of the examples,"Success, Failure",
event_schema_file,string,optional,The version of CIM model used to create this dataset. Literal string assigned by the data engineer,,wmi_v0.1.1
event_severity,string,recommended,"The severity of the event, normalized to one of example","Informational, Low, Medium, High",
event_type,string,recommended,Describes the operation reported by the event,,
src,string,recommended,Alias from src_hostname or src_ip_addr,,
src_domain,string,recommended,The domain name of the src_hostname,,contoso
src_hostname,string,recommended,The hostname of the source device without the domain,,DC01
src_ip_addr,string,optional,the ip address of the reporting hostname,,
src_user_name,string,optional,The user name associated with execution of acting_app_name,,
user,string,recommended,alias from src_user_name,,
wmi_filter_name,string,optional,The filter name presented in the record,,
wmi_filter_path,string,optional,The filter patch presented in the record,,
wmi_namespace,string,optional,The namespace associated with the event,,
wmi_operation,string,optional,The operation associated with the event,,
wmi_query,string,optional,The query string,,
src,string,optional,alias from src_ip_addr,,
src_ip_addr,string,optional,The ip address of the web request,,2.34.43.122
threat_category,string,optional,category of the threat identified in the web session,,
threat_id,string,optional,id of the threat identified in the web session,,
threat_name,string,optional,name of the threat identified in the web session,,
threat_risk_level,string,optional,numeric risk level identified in the web session,,
uid,string,optional,A unique value that links web to other sources such as the network connection,,
url,string,,The full HTTP request URL,,https://www.google.com/search?q=evil+actors&rlz=1C5GCEM
url_category,string,optional,The content category if supplied by web proxy,,"gambling, adult, social"
src,string,recommended,alias from src_hostname,,
src_hostname,string,recommended,The hostname of the device executing process,,
target_process_command_line,string,optional,The command line of the target process,,
target_process_guid,string,optional,The globally unique id of the target process,,
target_process_hash_md5,string,optional,The MD5 hash of the target process image file,,
target_process_hash_sha256,string,optional,The SHA256 hash of the target process image file,,
target_process_id,bigint,optional,The process id of the target process,,
target_process_name,string,optional,The name of the target process,,c:\Windows\explorer.exe
target_user_id,string,optional,The unique id for for the target_user_name,,S-1-12
target_user_name,string,optional,The target username including domain if available,,contoso\mallory
target_user_type,string,optional,"The type of username in target_user_name. UPN is either UPN or email, Windows = contoso\mallory, DN=LDAP format, Simple=mallorypark, AWSId=56765654368","UPN, Windows, DN,Simple, AWSId",
src_geo_region,string,optional,Region,,England
src_hostname,string,recommended,The source device name,,MALLORY-PC
src_interface_guid,string,optional,The GUID of the network interface used on the device,,46ad544b-eaf0-47ef-827c-266030f545a6
src_interface_name,string,optional,The network interface used for the connection by the source device,,eth01
src_ip_addr,string,optional,The source IP address,,10.10.10.10
src_mac_address,string,optional,The MAC address of the network interface used for the connection or session by the source device.,,06:10:9f:eb:8f:14
src_packets,long,optional,number of packets sent from source to destination,,
src_vlan_id,string,optional,The VLAN id related to the source device,,110
total_packets,long,optional,total packets sent between source and destination,,
